irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall,timestamp,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
0.0,1.79,0.06,0.0,0.0,14.77,0.04,0.0,0.0,0.44,25.12,0,17.29,0.0,2019-11-27 00:01:00,0,0.1,0.0,214.2,38.3,0
0.0,2.05,0.07,0.0,0.0,16.93,0.05,0.0,0.0,0.44,25.19,0,13.3,0.5,2019-11-27 00:02:00,0,0.1,0.0,214.2,38.4,0
0.0,1.56,0.05,0.0,0.0,12.86,0.04,0.0,0.0,0.45,25.12,0,21.28,0.5,2019-11-27 00:03:00,0,0.1,0.0,214.2,38.4,0
0.0,1.78,0.06,0.0,0.0,14.69,0.04,0.0,0.0,0.45,25.12,0,15.96,0.5,2019-11-27 00:04:00,0,0.1,0.0,214.2,38.5,0
0.0,1.88,0.06,0.0,0.0,15.48,0.04,0.0,0.0,0.45,25.12,0,14.63,0.5,2019-11-27 00:05:00,0,0.1,0.0,214.2,38.6,0
0.0,1.76,0.06,0.0,0.0,14.51,0.04,0.0,0.0,0.44,25.31,45,14.63,0.5,2019-11-27 00:06:00,0,0.1,0.0,214.2,38.6,0
0.0,1.87,0.06,0.0,0.0,15.42,0.04,0.0,0.0,0.44,25.31,0,15.96,0.75,2019-11-27 00:07:00,0,0.1,0.0,214.2,38.6,0
0.0,2.13,0.07,0.0,0.0,17.61,0.05,0.0,0.0,0.44,25.25,0,13.3,0.75,2019-11-27 00:08:00,0,0.1,0.0,214.2,38.5,0
0.0,2.04,0.07,0.0,0.0,16.85,0.05,0.0,0.0,0.45,25.19,90,13.3,1.0,2019-11-27 00:09:00,0,0.1,0.0,214.2,38.5,0
0.0,2.25,0.07,0.0,0.0,18.53,0.05,0.0,0.0,0.45,25.19,135,9.31,1.0,2019-11-27 00:10:00,0,0.1,0.0,214.2,38.5,0
0.0,1.89,0.06,0.0,0.0,15.59,0.04,0.0,0.0,0.46,25.12,0,6.65,1.0,2019-11-27 00:11:00,0,0.1,0.0,214.2,38.6,0
0.0,1.86,0.06,0.0,0.0,15.35,0.04,0.0,0.0,0.45,25.19,0,18.62,1.0,2019-11-27 00:12:00,0,0.1,0.0,214.2,38.6,0
0.0,1.7,0.06,0.0,0.0,14.05,0.04,0.0,0.0,0.44,25.31,0,18.62,1.0,2019-11-27 00:13:00,0,0.1,0.0,214.2,38.5,0
0.0,1.82,0.06,0.0,0.0,15.03,0.04,0.0,0.0,0.44,25.25,0,22.61,1.0,2019-11-27 00:14:00,0,0.1,0.0,214.2,38.5,0
0.0,1.61,0.05,0.0,0.0,13.25,0.04,0.0,0.0,0.43,25.31,0,13.3,1.0,2019-11-27 00:15:00,0,0.1,0.0,214.2,38.5,0
0.0,1.8,0.06,0.0,0.0,14.89,0.04,0.0,0.0,0.43,25.31,90,7.98,1.0,2019-11-27 00:16:00,0,0.1,0.0,214.2,38.5,0
0.0,1.67,0.06,0.0,0.0,13.79,0.04,0.0,0.0,0.45,25.19,0,18.62,1.0,2019-11-27 00:17:00,0,0.1,0.0,214.2,38.6,0
0.0,1.77,0.06,0.0,0.0,14.61,0.04,0.0,0.0,0.45,25.38,0,7.98,1.25,2019-11-27 00:18:00,0,0.1,0.0,214.2,38.6,0
0.0,1.29,0.04,0.0,0.0,10.61,0.03,0.0,0.0,0.44,25.25,270,27.93,1.25,2019-11-27 00:19:00,0,0.1,0.0,214.2,38.5,0
