irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall,timestamp,P_AC,I_AC,I_DC,V_AC,V_DC,IRR
0.0,5.41,0.18,0.0,0.0,44.65,0.12,0.0,0.0,0.47,18.75,135,3.99,0.0,2019-11-16 00:01:00,0,0.09,0.0,215.3,45.5,0
0.0,5.35,0.18,0.0,0.0,44.11,0.12,0.0,0.0,0.47,18.56,180,0.0,0.0,2019-11-16 00:02:00,0,0.09,0.0,215.3,45.4,0
0.0,4.52,0.15,0.0,0.0,37.31,0.1,0.0,0.0,0.47,18.69,180,0.0,0.0,2019-11-16 00:03:00,0,0.09,0.0,215.3,45.4,0
0.0,4.73,0.16,0.0,0.0,39.01,0.11,0.0,0.0,0.47,18.56,180,0.0,0.0,2019-11-16 00:04:00,0,0.09,0.0,215.3,45.3,0
0.0,5.52,0.18,0.0,0.0,45.51,0.13,0.0,0.0,0.46,18.62,135,0.0,0.0,2019-11-16 00:05:00,0,0.09,0.0,215.3,45.2,0
0.0,5.07,0.17,0.0,0.0,41.79,0.11,0.0,0.0,0.45,18.5,135,0.0,0.0,2019-11-16 00:06:00,0,0.09,0.0,215.3,45.2,0
0.0,4.69,0.16,0.0,0.0,38.69,0.11,0.0,0.0,0.45,18.56,180,0.0,0.0,2019-11-16 00:07:00,0,0.09,0.0,215.3,45.2,0
0.0,4.43,0.15,0.0,0.0,36.56,0.1,0.0,0.0,0.44,18.75,180,0.0,0.0,2019-11-16 00:08:00,0,0.09,0.0,215.3,45.3,0
0.0,4.77,0.16,0.0,0.0,39.37,0.11,0.0,0.0,0.44,18.62,180,0.0,0.0,2019-11-16 00:09:00,0,0.09,0.0,215.3,45.3,0
0.0,5.2,0.17,0.0,0.0,42.92,0.12,0.0,0.0,0.44,18.44,135,0.0,0.0,2019-11-16 00:10:00,0,0.09,0.0,215.3,45.1,0
0.0,5.49,0.18,0.0,0.0,45.28,0.12,0.0,0.0,0.45,18.69,180,0.0,0.0,2019-11-16 00:11:00,0,0.09,0.0,215.3,45.1,0
0.0,5.12,0.17,0.0,0.0,42.24,0.12,0.0,0.0,0.47,18.62,180,0.0,0.0,2019-11-16 00:12:00,0,0.09,0.0,215.3,44.3,0
0.0,6.4,0.21,0.0,0.0,52.78,0.15,0.0,0.0,0.47,18.44,180,0.0,0.0,2019-11-16 00:13:00,0,0.09,0.0,215.3,44.3,0
0.0,6.12,0.2,0.0,0.0,50.49,0.14,0.0,0.0,0.47,18.5,180,0.0,0.0,2019-11-16 00:14:00,0,0.09,0.0,215.3,44.4,0
0.0,5.88,0.2,0.0,0.0,48.49,0.13,0.0,0.0,0.45,18.31,180,0.0,0.0,2019-11-16 00:15:00,0,0.09,0.0,215.3,44.4,0
0.0,5.86,0.19,0.0,0.0,48.32,0.13,0.0,0.0,0.45,18.44,135,0.0,0.0,2019-11-16 00:16:00,0,0.09,0.0,215.3,44.9,0
0.0,5.96,0.2,0.0,0.0,49.16,0.14,0.0,0.0,0.44,18.56,180,0.0,0.0,2019-11-16 00:17:00,0,0.09,0.0,215.3,44.9,0
0.0,6.34,0.21,0.0,0.0,52.31,0.14,0.0,0.0,0.43,18.5,135,0.0,0.0,2019-11-16 00:18:00,0,0.09,0.0,215.3,45.3,0
0.0,5.59,0.19,0.0,0.0,46.08,0.13,0.0,0.0,0.43,18.44,180,0.0,0.0,2019-11-16 00:19:00,0,0.09,0.0,215.3,45.3,0
0.0,5.66,0.19,0.0,0.0,46.68,0.13,0.0,0.0,0.44,18.38,180,0.0,0.0,2019-11-16 00:20:00,0,0.09,0.0,215.3,45.8,0
0.0,6.64,0.22,0.0,0.0,54.81,0.15,0.0,0.0,0.46,18.44,180,0.0,0.0,2019-11-16 00:21:00,0,0.09,0.0,215.3,45.8,0
0.0,7.36,0.24,0.0,0.0,60.74,0.17,0.0,0.0,0.46,18.56,135,0.0,0.0,2019-11-16 00:22:00,0,0.09,0.0,215.3,46.0,0
0.0,7.17,0.24,0.0,0.0,59.17,0.16,0.0,0.0,0.46,18.44,180,0.0,0.0,2019-11-16 00:23:00,0,0.09,0.0,215.3,46.0,0
0.0,6.91,0.23,0.0,0.0,57.0,0.16,0.0,0.0,0.47,18.5,180,0.0,0.0,2019-11-16 00:24:00,0,0.09,0.0,215.3,46.0,0
0.0,7.2,0.24,0.0,0.0,59.39,0.16,0.0,0.0,0.48,18.38,180,0.0,0.0,2019-11-16 00:25:00,0,0.09,0.0,215.3,46.0,0
0.0,8.27,0.28,0.0,0.0,68.23,0.19,0.0,0.0,0.47,18.5,180,0.0,0.0,2019-11-16 00:26:00,0,0.09,0.0,215.3,46.0,0
0.0,8.44,0.28,0.0,0.0,69.6,0.19,0.0,0.0,0.48,18.44,180,0.0,0.0,2019-11-16 00:27:00,0,0.09,0.0,215.3,46.0,0
0.0,8.07,0.27,0.0,0.0,66.58,0.18,0.0,0.0,0.46,18.38,180,0.0,0.0,2019-11-16 00:28:00,0,0.09,0.0,215.3,46.0,0
0.0,8.68,0.29,0.0,0.0,71.62,0.2,0.0,0.0,0.46,18.31,180,0.0,0.0,2019-11-16 00:29:00,0,0.09,0.0,215.3,46.0,0
0.0,8.79,0.29,0.0,0.0,72.49,0.2,0.0,0.0,0.44,18.31,180,0.0,0.0,2019-11-16 00:30:00,0,0.09,0.0,215.3,46.2,0
1.17,9.59,0.32,0.0,0.0,79.13,0.22,0.0,0.0,0.48,18.31,180,0.0,0.0,2019-11-16 00:31:00,0,0.09,0.0,215.3,46.2,0
0.0,8.93,0.3,0.0,0.0,73.68,0.2,0.0,0.0,0.51,18.31,180,0.0,0.0,2019-11-16 00:32:00,0,0.09,0.0,215.3,46.3,0
